painting,style
Pointillism/camille-pissarro_working-at-eragny.jpg,Pointillism
Impressionism/georges-seurat_rainbow-1883.jpg,Impressionism
Expressionism/henri-matisse_the-arm-1938.jpg,Expressionism
Impressionism/willard-metcalf_early-october-1906.jpg,Impressionism
Post_Impressionism/vincent-van-gogh_the-courtyard-of-the-hospital-in-arles-1889.jpg,Post_Impressionism
Impressionism/samuel-mutzner_carusel-la-mo-i.jpg,Impressionism
Impressionism/claude-monet_the-doges-palace.jpg,Impressionism
Art_Nouveau_Modern/pablo-picasso_costume-design-for-ballet-tricorne-1917.jpg,Art_Nouveau_Modern
Realism/alexey-bogolyubov_smolny-as-seen-from-bolshaya-okhta.jpg,Realism
Synthetic_Cubism/pablo-picasso_head-of-a-man-1.jpg,Synthetic_Cubism
Art_Nouveau_Modern/anna-ostroumova-lebedeva_linden-avenue-and-the-monument-to-paul-i-1922.jpg,Art_Nouveau_Modern
Symbolism/james-tissot_michal-despises-david.jpg,Symbolism
Romanticism/gustave-dore_the-army-of-the-amorites-is-destroyed.jpg,Romanticism
Impressionism/alfred-sisley_willows-in-a-field-afternoon.jpg,Impressionism
Art_Nouveau_Modern/aubrey-beardsley_puck-on-pegasus.jpg,Art_Nouveau_Modern
Expressionism/costas-niarchos_untitleda.jpg,Expressionism
Northern_Renaissance/albrecht-durer_man-of-sorrows-with-hands-bound-1512.jpg,Northern_Renaissance
Pop_Art/gerard-fromanger_le-linceul-n-a-pas-de-poches-2002.jpg,Pop_Art
Art_Nouveau_Modern/felix-vallotton_portrait-of-french-writer-andr-fontainas-1898.jpg,Art_Nouveau_Modern
Baroque/paul-bril_an-extensive-landscape.jpg,Baroque
Realism/winslow-homer_market-scene-nassau.jpg,Realism
Realism/ilya-repin_student-nihilist-1883.jpg,Realism
Rococo/george-morland_guinea-pigs-1792.jpg,Rococo
Realism/camille-corot_forest-in-fontainbleau.jpg,Realism
Post_Impressionism/vincent-van-gogh_wheatfields-under-thunderclouds-1890.jpg,Post_Impressionism
Realism/andrei-ryabushkin_sunday-in-the-village.jpg,Realism
Impressionism/john-henry-twachtman_path-in-the-hills-branchville-connecticut.jpg,Impressionism
Baroque/frans-hals_portrait-of-a-man-4.jpg,Baroque
Impressionism/arkhip-kuindzhi_ai-petri-crimea.jpg,Impressionism
Post_Impressionism/abraham-manievich_landscape-with-animals.jpg,Post_Impressionism
Post_Impressionism/auguste-herbin_still-life-1920.jpg,Post_Impressionism
Baroque/anthony-van-dyck_avenue-in-the-country.jpg,Baroque
Impressionism/walter-battiss_below-drummond-natal.jpg,Impressionism
Impressionism/claude-monet_poplars-on-the-banks-of-the-epte-autumn-1891.jpg,Impressionism
Realism/gustave-courbet_poor-woman-of-the-village.jpg,Realism
Realism/vincent-van-gogh_sower-after-millet-1881.jpg,Realism
Cubism/marc-chagall_to-russia-with-asses-and-others.jpg,Cubism
Realism/alexey-venetsianov_harvesting-summer.jpg,Realism
Naive_Art_Primitivism/marc-chagall_the-over-flowing-table.jpg,Naive_Art_Primitivism
Impressionism/henry-herbert-la-thangue_crying-fish-in-spain.jpg,Impressionism
Realism/james-tissot_trafalgar-tavern-1878.jpg,Realism
Early_Renaissance/benozzo-gozzoli_st-augustine-departing-for-milan-detail-1465-2.jpg,Early_Renaissance
Symbolism/mikhail-vrubel_resurrection-1887.jpg,Symbolism
Post_Impressionism/edouard-vuillard_window-overlooking-the-woods.jpg,Post_Impressionism
Realism/ilya-repin_portrait-of-folk-story-teller-v-p-schegolenkov-1879.jpg,Realism
Expressionism/ernst-ludwig-kirchner_portrait-of-a-sick-man.jpg,Expressionism
Art_Nouveau_Modern/carlos-saenz-de-tejada_don-juan-study-of-illustration.jpg,Art_Nouveau_Modern
Cubism/pablo-picasso_woman-s-head-1934.jpg,Cubism
Impressionism/camille-pissarro_workers-in-the-fields-1.jpg,Impressionism
Symbolism/odilon-redon_head-with-flowers.jpg,Symbolism
Art_Nouveau_Modern/raphael-kirchner_smoking-women-1904-2.jpg,Art_Nouveau_Modern
Early_Renaissance/piero-della-francesca_queen-of-sheba-worshipping-the-wood-of-the-cross-1464(1).jpg,Early_Renaissance
Realism/giovanni-boldini_place-clichy-1874.jpg,Realism
Post_Impressionism/vincent-van-gogh_still-life-pink-roses-1890.jpg,Post_Impressionism
Realism/boris-kustodiev_portrait-of-i-b-kustodieva-1906.jpg,Realism
Rococo/allan-ramsay_mary-digges-1737-1829-lady-robert-manners.jpg,Rococo
Baroque/rembrandt_portrait-of-cornelia-pronck-wife-of-albert-cuyper-at-the-age-of-33-1633.jpg,Baroque
Cubism/1778_not_detected_227962.jpg!Blog.jpg,Cubism
Color_Field_Painting/jose-guerrero_esquinas-1973.jpg,Color_Field_Painting
Art_Nouveau_Modern/nicholas-roerich_they-build-the-ships-1903.jpg,Art_Nouveau_Modern
Post_Impressionism/pierre-bonnard_vase-with-anemonies-and-empty-vase.jpg,Post_Impressionism
Naive_Art_Primitivism/maria-primachenko_godfather-brings-a-calf-to-godmother-1983.jpg,Naive_Art_Primitivism
Ukiyo_e/utagawa-kuniyoshi_women-22.jpg,Ukiyo_e
Baroque/guido-reni_mary-magdalene-in-ecstasy-at-the-foot-of-the-cross-1629.jpg,Baroque
Realism/aleksey-savrasov_round-dance-in-the-village-1874.jpg,Realism
Impressionism/adam-baltatu_pipkin-with-field-flowers.jpg,Impressionism
Impressionism/georgios-jakobides_at-the-studio-1884.jpg,Impressionism
Expressionism/vilmos-aba-novak_well-sweep-watering-at-the-well-sweep-1927.jpg,Expressionism
Impressionism/joaquã­n-sorolla_seville-the-dance-1915.jpg,Impressionism
Baroque/rembrandt_apostle-paul-1635.jpg,Baroque
Realism/pyotr-konchalovsky_airedale-on-the-balcony-1935.jpg,Realism
