painting,style
StyleCAN2/lowest_NN_dist000901.png,StyleCAN2
StyleCAN2/random000050.png,StyleCAN2
StyleCAN2/lowest_NN_dist000778.png,StyleCAN2
StyleCAN2/random000388.png,StyleCAN2
StyleCAN2/lowest_NN_dist000561.png,StyleCAN2
StyleCAN2/lowest_NN_dist000571.png,StyleCAN2
StyleCAN2/highest_shape_entropy000654.png,StyleCAN2
StyleCAN2/highest_NN_dist000999.png,StyleCAN2
StyleCAN2/lowest_NN_dist000904.png,StyleCAN2
StyleCAN2/highest_shape_entropy000377.png,StyleCAN2
StyleCAN2/highest_shape_entropy000809.png,StyleCAN2
StyleCAN2/highest_shape_entropy000896.png,StyleCAN2
StyleCAN2/highest_NN_dist000115.png,StyleCAN2
StyleCAN2/highest_NN_dist000104.png,StyleCAN2
StyleCAN2/lowest_NN_dist000108.png,StyleCAN2
StyleCAN2/random000093.png,StyleCAN2
StyleCAN2/lowest_NN_dist000983.png,StyleCAN2
StyleCAN2/random000372.png,StyleCAN2
StyleCAN2/lowest_NN_dist000208.png,StyleCAN2
StyleCAN2/random000625.png,StyleCAN2
StyleCAN2/lowest_NN_dist000318.png,StyleCAN2
StyleCAN2/highest_NN_dist000604.png,StyleCAN2
StyleCAN2/random000521.png,StyleCAN2
StyleCAN2/random000045.png,StyleCAN2
StyleCAN2/random000695.png,StyleCAN2
StyleCAN2/random000566.png,StyleCAN2
StyleCAN2/highest_NN_dist000347.png,StyleCAN2
StyleCAN2/highest_shape_entropy000863.png,StyleCAN2
StyleCAN2/random000514.png,StyleCAN2
StyleCAN2/lowest_NN_dist000074.png,StyleCAN2
StyleCAN2/highest_shape_entropy000115.png,StyleCAN2
StyleCAN2/random000257.png,StyleCAN2
StyleCAN2/highest_NN_dist000673.png,StyleCAN2
StyleCAN2/highest_NN_dist000259.png,StyleCAN2
StyleCAN2/highest_shape_entropy000936.png,StyleCAN2
StyleCAN2/highest_shape_entropy000817.png,StyleCAN2
StyleCAN2/lowest_NN_dist000037.png,StyleCAN2
StyleCAN2/highest_shape_entropy000197.png,StyleCAN2
StyleCAN2/highest_shape_entropy000645.png,StyleCAN2
StyleCAN2/highest_NN_dist000084.png,StyleCAN2
StyleCAN2/random000079.png,StyleCAN2
StyleCAN2/random000351.png,StyleCAN2
StyleCAN2/highest_NN_dist000638.png,StyleCAN2
